Req ID,Section,Page,Paragraph,Requirement Text,Compliance Type,Category,Priority,Risk,Compliance Status,Proposal Section,Proposal Page,Assigned To,Assignee Type,Assignee Name,Keywords,Notes,Due Date
C-001,C,,3.1.1,"The contractor shall design and implement a cloud-based architecture that
supports seamless integration across all military domains including air, land,
sea, space, and cyber operations.",mandatory,technical,high,red,not_started,,,,,,"[""cloud-based"", ""architecture"", ""integration"", ""military"", ""domains""]",,
C-002,C,,3.1.2,"The system must achieve 99.9% uptime during operational hours with mean
time to recovery (MTTR) not exceeding 4 hours for critical system failures.",mandatory,technical,high,red,not_started,,,,,,"[""uptime"", ""MTTR"", ""critical failures""]",,
C-003,C,,3.1.3,"All infrastructure components shall be hosted in FedRAMP High authorized
cloud environments approved by the Department of Defense.
shall be hosted in FedRAMP High authorized
cloud environments approved by the Department of Defense.",mandatory,compliance,high,red,not_started,,,,,,"[""FedRAMP High"", ""Department of Defense""]",,
C-004,C,,3.2.1,"The contractor shall implement and maintain security controls in accordance
with NIST SP 800-53 Revision 5 at the High baseline level.",mandatory,technical,high,red,not_started,,,,,,"[""NIST SP 800-53 Revision 5"", ""High baseline level""]",,
C-005,C,,3.2.2,"All data at rest must be encrypted using FIPS 140-2 validated cryptographic
modules with AES-256 encryption algorithms.",mandatory,technical,high,red,not_started,,,,,,"[""encryption"", ""FIPS 140-2"", ""AES-256"", ""data at rest""]",,
C-006,C,,3.2.3,"Data in transit shall be protected using TLS 1.3 or higher protocols with
Perfect Forward Secrecy (PFS) enabled.",mandatory,technical,high,red,not_started,,,,,,"[""TLS 1.3"", ""PFS"", ""data in transit""]",,
C-007,C,,3.2.4,"The system will implement multi-factor authentication (MFA) for all user
access using CAC/PIV cards and biometric verification methods.",mandatory,technical,high,red,not_started,,,,,,"[""multi-factor authentication"", ""MFA"", ""CAC/PIV cards"", ""biometric verification""]",,
C-008,C,,3.2.5,"Security vulnerability scans must be conducted monthly with critical
vulnerabilities remediated within 30 days and high vulnerabilities within 90 days.",mandatory,technical,high,red,not_started,,,,,,"[""security vulnerability scans"", ""critical vulnerabilities"", ""remediated within"", ""30 days"", ""90 days""]",,
C-009,C,,3.3.1,"The contractor shall ensure the system integrates with existing DoD
enterprise systems including: Defense Information Systems Network (DISN), Global
Command and Control System (GCCS), and Distributed Common Ground System (DCGS).",mandatory,technical,high,red,not_started,,,,,,"[""DISN"", ""GCCS"", ""DCGS""]",,
C-010,C,,3.3.2,"All application programming interfaces (APIs) must conform to DoD Enterprise
DevSecOps Reference Design specifications.",mandatory,technical,high,red,not_started,,,,,,"[""DoD Enterprise DevSecOps Reference Design"", ""APIs"", ""conform""]",,
